step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
349,CASH_OUT,132078.9,C514983730,117569.06,0.0,C1754192452,284935.45,417014.35,0
546,CASH_OUT,247388.19,C420794703,2180.0,0.0,C1235081720,4015771.35,4263159.54,0
322,CASH_OUT,383574.39,C1179047181,19552.0,0.0,C1107089727,0.0,383574.39,0
395,PAYMENT,35.84,C378151274,194931.99,194896.15,M831333854,0.0,0.0,0
163,PAYMENT,8618.51,C1783382475,22206.0,13587.49,M1681317647,0.0,0.0,0
178,CASH_OUT,602559.9,C1694591276,0.0,0.0,C1045887255,637774.15,1240334.06,0
130,PAYMENT,17401.48,C1389764474,542.0,0.0,M1597948645,0.0,0.0,0
352,PAYMENT,9206.11,C1308056036,42162.0,32955.89,M2001483462,0.0,0.0,0
33,DEBIT,3172.22,C1228512955,79048.0,75875.78,C1204943997,1186357.58,1189529.8,0
300,CASH_IN,433838.28,C23225933,40721.0,474559.28,C355522135,0.0,0.0,0
155,CASH_OUT,68046.51,C1246896758,11198.0,0.0,C43598816,38200.31,106246.81,0
375,PAYMENT,19896.72,C666558034,354615.77,334719.05,M1234718985,0.0,0.0,0
13,PAYMENT,29686.47,C216195305,147729.0,118042.53,M1266107894,0.0,0.0,0
229,CASH_IN,14519.46,C1925182719,10752653.19,10767172.65,C1446365994,125023.71,110504.25,0
136,PAYMENT,8383.0,C507523859,0.0,0.0,M1402559007,0.0,0.0,0
43,CASH_IN,53202.45,C1243309531,15845240.16,15898442.61,C535023946,138890.47,85688.02,0
178,PAYMENT,4839.37,C1907681243,0.0,0.0,M162367541,0.0,0.0,0
135,CASH_IN,323883.49,C1166687978,3072003.02,3395886.51,C2141373585,2399809.18,2075925.69,0
163,PAYMENT,11863.69,C1452381158,183520.24,171656.55,M1029584586,0.0,0.0,0
353,CASH_IN,265911.31,C1149344656,2725053.15,2990964.46,C1568630143,1416950.74,1151039.43,0
373,PAYMENT,23159.07,C811009217,55718.0,32558.93,M545182041,0.0,0.0,0
24,CASH_OUT,47430.26,C1895120049,0.0,0.0,C331448150,462008.29,509438.55,0
37,PAYMENT,9428.72,C458861204,0.0,0.0,M666312714,0.0,0.0,0
211,PAYMENT,8284.59,C232187923,40318.33,32033.74,M1112090131,0.0,0.0,0
310,PAYMENT,2074.79,C2012080806,206882.0,204807.21,M388311637,0.0,0.0,0
253,CASH_OUT,25525.26,C1545733340,0.0,0.0,C1873889419,6324016.43,6349541.69,0
400,CASH_OUT,90762.2,C725680332,0.0,0.0,C1963273989,1495140.63,1585902.83,0
345,CASH_IN,150543.41,C59119402,1828672.67,1979216.09,C1120080940,329515.27,178971.86,0
302,CASH_OUT,281128.03,C1874265709,50008.0,0.0,C1308853765,1840628.02,2121756.05,0
396,CASH_IN,86973.55,C1895642273,7706972.36,7793945.9,C1768689576,350206.4,263232.85,0
356,PAYMENT,15909.2,C372559217,96077.0,80167.8,M2104302313,0.0,0.0,0
162,PAYMENT,8979.01,C1989619040,42204.0,33224.99,M1997412043,0.0,0.0,0
255,TRANSFER,196415.67,C1041608876,154678.0,0.0,C192115206,0.0,196415.67,0
211,CASH_IN,379462.53,C703384005,13452402.33,13831864.86,C1640625225,418640.6,39178.07,0
158,PAYMENT,36556.75,C631630137,0.0,0.0,M1499532662,0.0,0.0,0
21,PAYMENT,15139.28,C22352834,375766.2,360626.92,M1339953620,0.0,0.0,0
234,CASH_OUT,47197.62,C1189467139,0.0,0.0,C2057601225,211889.18,259086.8,0
229,TRANSFER,801145.87,C1946105653,14504.0,0.0,C659740876,0.0,801145.87,0
228,PAYMENT,44074.77,C342146106,0.0,0.0,M659672948,0.0,0.0,0
375,TRANSFER,730839.64,C998043731,0.0,0.0,C303979403,1025528.63,1756368.27,0
356,CASH_IN,181595.88,C202242200,12940.0,194535.88,C1760872167,2724779.34,2543183.46,0
251,CASH_IN,242825.18,C1660327984,367.0,243192.18,C321841939,21249.0,0.0,0
353,CASH_OUT,47927.43,C1444942297,0.0,0.0,C535024523,111439.44,159366.87,0
225,CASH_OUT,16964.93,C852535727,31418.0,14453.07,C1809521143,0.0,16964.93,0
33,TRANSFER,68920.14,C1256468240,0.0,0.0,C266171809,188298.65,257218.78,0
162,PAYMENT,23713.45,C1868710207,40710.0,16996.55,M2015098026,0.0,0.0,0
394,PAYMENT,10500.49,C1024323107,0.0,0.0,M1136580178,0.0,0.0,0
335,CASH_IN,154944.9,C1961417350,2015312.35,2170257.25,C753274685,196673.58,41728.68,0
181,PAYMENT,629.23,C2070123909,0.0,0.0,M349903621,0.0,0.0,0
380,PAYMENT,27898.92,C1654347220,0.0,0.0,M1842677572,0.0,0.0,0
644,CASH_OUT,256790.27,C1486185339,43478.0,0.0,C832637952,5970692.84,6227483.11,0
15,CASH_OUT,377851.01,C977253438,236529.0,0.0,C163964257,1323805.98,1845883.54,0
307,CASH_IN,212170.58,C1181193592,106466.0,318636.58,C1856503423,303100.04,90929.46,0
132,PAYMENT,19815.68,C868681227,62227.0,42411.32,M1502793732,0.0,0.0,0
398,PAYMENT,1937.36,C353069460,21259.0,19321.64,M890684843,0.0,0.0,0
208,PAYMENT,4169.6,C2060397656,58023.43,53853.84,M538382814,0.0,0.0,0
397,PAYMENT,34046.36,C1765468345,175.0,0.0,M1462863283,0.0,0.0,0
260,PAYMENT,8452.98,C1889551934,10199.0,1746.02,M515102884,0.0,0.0,0
402,PAYMENT,8130.66,C2039462415,21915.0,13784.34,M544638676,0.0,0.0,0
202,CASH_OUT,159198.71,C1747985269,0.0,0.0,C1118473632,3593918.75,3753117.45,0
328,PAYMENT,12346.29,C1472008121,278410.16,266063.88,M331183316,0.0,0.0,0
355,CASH_OUT,5189.5,C1536889263,12920.0,7730.5,C2043838961,318549.14,323738.64,0
22,PAYMENT,18006.79,C1944128948,94909.0,76902.21,M1006861735,0.0,0.0,0
